scheme,category,is_number,title,qco_order,mandatory_status,certifying_body
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 18112:2022,Digital Television Receiver for Satellite Broadcast Transmission – Specification,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 14286 IS/IEC 61730 -1 IS/IEC 61730 -2,Crystalline Silicon Terrestrial Photovoltaic (PV) modules – Design Qualification And Type Approval,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16077 IS/IEC 61730 -1 IS/IEC 61730 -2,Thin-Film Terrestrial Photovoltaic (PV) Modules – Design Qualification and Type Approval,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16221 (Part 2),Safety of Power Converters for Use in Photovoltaic Power Systems Part 2-Particular Requirements for Inverters,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16169,Safety of Power Converters for Use in Photovoltaic Power Systems Part 2-Particular Requirements for Inverters,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 16270,Test Procedure of Islanding Prevention Measures for Utility-Interconnected Photovoltaic Inverters,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 798:2020,Ortho Phosphoric Acid – Specification,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 17439:2020,Polyphosphoric Acid – Specification,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 17412:2020,Trimethyl Phosphite – Technical Grade,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
Scheme-II (CRS - Compulsory Registration Scheme),Electronics & IT Goods,IS 12171:2019,Cotton Bales- Specification,Electronics and Information Technology Goods (Requirement for Compulsory Registration) Order,MANDATORY_UNDER_CRS,MeitY / Bureau of Indian Standards (BIS)
